crop_name,crop_diseases,crop_causes,crop_symptom,cultural_control,chemical_control,biological_control
Lettuce ,(Lactuca sativa)-Gray Mold,"Botrytis cinerea, (teleomorph: Botryotinia fuckeliana), a fungus that is pathogenic on many plants. This organism can survive on many hosts or on plant debris. It is an opportunistic pathogen and its spores (conidia) easily invade weak, damaged, or senescing tissue when wet. Conidia are produced throughout the growing season under a wide range of temperatures and humidity but cool temperatures, high humidity, and free water on plant surfaces favor the disease, as do close plant spacing and irrigation practices that keep plants wet for a long time. Downy mildew infection of leaves or Pythium infection of lower leaves or stems will make tissues susceptible to gray mold.


","The initial symptom is a dark, water-soaked lesion. A soft rot of infected leaves and stems occur as the pathogen grows into healthy tissues. Seedlings will fall over if infection girdles the stem. Any time before harvest, leaves may wilt, beginning with the oldest leaves and continuing until the plant collapses. Gray, powdery spore masses form, particularly on shaded leaves. Black sclerotia may also develop.


","

1) Avoid injury to plant tissues.

2) Limit irrigation so plant leaves do not remain wet; avoid overhead irrigation.

3) Control other pathogens that infect leaves or lower stem tissues.

4) Minimize crop debris/residues at planting.

5) In greenhouse production, reduce the relative humidity.

","


1) Botran 75W at 2.67 lbs/A. This fungicide is also registered for use in greenhouse production, but on leaf lettuce only. Effectiveness is considered low. Some transient leaf bronzing may occur. Preharvest interval is 14 days. 12-hr reentry.

2) Cannonball WP at 7 oz/A on 7- to 10-day intervals. Preharvest interval is 0 days. 12-hr reentry.

3) Carboxamide (Group 7) formulations are registered for use. Do not make more than two (2) sequential applications before alternating to a labeled fungicide with a different mode of action.

3.1) Endura at 8 to 11 oz/A. Preharvest interval is 14 days. 12-hr reentry. 
3.2) Fontelis at 14 to 24 fl oz/A on 7- to 14-day intervals. Preharvest interval is 3 days. 12-hr reentry.
4) OSO 5% SC (Group 19) at 3.75 to 13 fl oz/A on 7- to 14-day intervals. Can be applied the day of harvest. 4-hr reentry.

5) Rovral 4 Flowable at 1.5 to 2 pints/A in at least 40 gal/A water. Preharvest interval is 14 days. 24-hr reentry.

6) Switch 62.5WG at 11 to 14 oz/A on 7- to 10-day intervals. Do not make more than two (2) applications of Switch 62.5WG before alternating for the next two (2) applications to a fungicide with a different mode of action. Can be applied on the day of harvest. 12-hr reentry.

7) Trilogy at 0.5% to 1%. Do not use above 90°F or when plants are under heat or moisture stress. Do not use when foliage is wet as good coverage is essential. Poor control as a stand-alone product. 4-hr reentry.

","Efficacy unknown in Oregon.


1) Actinovate AG at 3 to 12 oz/A as a foliar spray on 7- to 14-day intervals. 1-hr reentry.

"
Lettuce ,(Lactuca sativa)-Mosaic,"Lettuce mosaic virus, which is transmitted by seed and by the green peach aphid.


","In young plants, first the seedling leaves roll up on the long axis and the first true leaf is irregularly shaped and slightly lobed. Vein clearing and bronzing follow. Bronzing is caused by necrotic flecking of the leaf blade, especially along the veinlets. Symptom expression varies with variety and climatic factors.
In older plants, the mottle symptom is absent or indistinct. In half-grown plants, the whole plant is severely stunted and dull green to slightly yellow. The outer leaf tip rolls down, so plants look wilted although leaves may be turgid. Midribs on stunted plants protrude abnormally on the leaf underside and give the lower portion of the heads a ribby appearance.


","

1) Pathogen-free seed is the best means of control.

2) Avoid planting cultivars not tested for mosaic in the same field with tested material.

3) Control weeds, particularly wild lettuce, near the planting.

4) Remove diseased plants whenever apparent.

",,
Lettuce ,(Lactuca sativa)-Red Rib (Rib Blight),"Unknown but believed to be physiological. Tests have not associated red rib with soil types, pH, or fertilizing practices.


","Brownish-red spots on leaves, mainly on ribs, enlarge to become fairly wide bands, up to 0.75 by 3 to 4 inches long. The bands are diffuse, not sharply edged. The disorder may affect one or two ribs of the outside leaves, but often the discoloration continues through to inner leaves from these points. Larger bands of affected tissue may crack, allowing rot organisms to enter.


","The variety 'Salinas' and other salinas types are susceptible. 'Ithaca' and 'Summertime' do not crack and rot.

",,
Lettuce ,(Lactuca sativa)-Tipburn,"Physiological disorder. All cultivars grown in the Pacific Northwest are susceptible to some degree, but they differ considerably. Under Oregon conditions, all California cultivars are susceptible. At least five environmental conditions-all of which affect the plant's calcium uptake or distribution-reportedly favor development of the disorder. (1) High relative humidity with high temperatures, particularly nights above 65°F during head development. (2) Conditions that favor rapid succulent growth such as an abundance of moisture and plant nutrients. (3) An inadequate or fluctuating water supply as the crop matures. (4) Low soil and air temperatures during early development followed by a period of high temperatures with low humidity as the crop nears maturity. (5) An imbalance in the mineral nutrition of the crop, particularly as affecting calcium. Excessively high levels of potassium and magnesium or high applications of ammonium nitrogen have been reported to predispose lettuce to tip burn, particularly if soils are low in calcium to begin with.


","Initial symptoms are small, dark brown spots along the margins of interior or exterior head leaves. Spots later merge together, and the entire margin becomes brown and necrotic. Tip burn is more serious on the internal leaves of the head because harvest crews cannot detect and eliminate the heads as unmarketable. The internal necrotic areas are ideal sites for the development of secondary rot organisms. Usually only a few leaves of the head are affected with tip burn.


","Calcium chloride treatments had some disease-reducing effect in test plots but not in field plots.

1) Use the more resistant cultivars: Ithaca and Summertime are recommended for main-season production.

2) It is important to maintain adequate calcium levels in soil and to manage fertilizer and irrigation programs to provide even growth throughout the plant's life. Soil samples should show adequate base saturation and adequate levels of calcium.

3) Nitrogen forms may be important; nitrate forms are preferred to ammonium forms.

4) Harvest lettuce at optimum maturity because tip burn tends to be more serious on overmature lettuce.

",,
Lettuce ,(Lactuca sativa)-Varnish Spot,"A bacterium, Pseudomonas cichorii, which can survive in soil for some time after the lettuce crop is removed.


","Dark-brown, firm, necrotic spots a few millimeters in diameter occur on leaves and petioles of lettuce several layers within the lettuce head. Because outer layers of leaves are rarely affected, usually it is impossible to detect the disease without destroying the head.


","

1) Several years of crop rotation to non-hosts.

2) Minimizing overhead irrigation the 3 weeks before harvest may help.

",,
Lettuce ,(Lactuca sativa)-Virescence (Aster Yellows),"The aster yellows phytoplasma is transmitted by several leafhoppers and has a very wide host range.


","First symptoms are blanching and chlorosis in young heart leaves. Center leaves fail to develop normally and may appear as short, thickened stubs. Pink to tan latex deposits collect on affected leaves. In plants infected late in the season, the only symptoms are latex deposits within the head. In general, infected plants are stunted, fail to head, and are worthless for market.


","

1) Eliminate weeds in areas surrounding the lettuce planting.

2) Controlling leafhopper vectors may give partial control.

3) Leafhoppers avoid shaded plants.

",,
Lettuce ,(Lactuca sativa)-Yellows (Beet Western Yellows),"Beet western yellows virus is an increasingly significant pathogen in western Oregon. The principal vector is the green peach aphid, Myzus persicae, although other aphid vectors are likely. After acquiring the virus from infected plants, aphids may retain for life the ability to transmit virus. An enormous number of crop and weed species are susceptible to the virus; thus the natural inoculum reservoir is hardly avoidable. Crops commonly infected in western Oregon include beets (table and sugar), broccoli, most clovers, mustard, lettuce, pea, radish, spinach, Swiss chard, and turnip. Weed species commonly infected in western Oregon include burdock, Canada thistle, cutleaf geranium, dog fennel, groundsel, pigweed, redstem filaree, clovers, and wild mustard.


","Leaves turn yellow prematurely, typically beginning at the margins and progressing in; veins and midribs tend to remain green. The oldest leaves tend to yellow first. Yellows symptoms progress up, resulting in reduced and abnormal growth.


","

1) The cultivar Salinas is tolerant. Attempts are underway to identify other lettuce cultivars and breeding lines that are both suitable to the Pacific Northwest and resistant to this virus. No other control measures are considered practical.

",,
Leucothoe,Powdery Mildew,"The fungus Erysiphe azaleae (formerly Oidium ericinum) has been found in Washington. Powdery mildew on this host is common in west-side locations in Oregon and Washington. Wind blows conidia to healthy foliage where they start new mildew colonies. The fungus does not grow in a leaf but rather across the surface. Small anchor cells of the fungus, haustoria, remain in the leaf and take nourishment from the plant, but the main filament and the spores it produces are outside the leaf. The disease can develop under relatively dry conditions in spring and summer so long as the air is humid. Plants in shade tend to have more problems because that environment favors disease development. Multiple disease cycles occur during the growing season.


","Leaves may show pale, yellow-green, irregularly shaped blotches. These areas enlarge to about 0.5 inch and turn reddish-purple. Close observation reveals sparse whitish or tan fungal mycelium on the leaf undersurface, growing in association with the spots. Heavy infection may lead to defoliation.


","

1) Remove and destroy infected leaves.

2) Rake up and destroy fallen leaves.

3) Plant in an area with good air circulation and morning sun.

4) Avoid humid planting sites.

5) Prune to allow better air circulation.

","Carefully monitor plants for the very first symptoms and then begin treatment. Alternate or tank-mix products from different groups that have different modes of action. Limit the use of any one group during crop production.


1) Armada 50 WDG at 3 to 9 oz/100 gal water. Do not use a silicone-based surfactant. Not for nursery or greenhouse use. Group 3 + 11 fungicide. 12-hr reentry.

2) Bayleton 50 T&O at 5.5 oz/275 to 550 gal water. Landscape only, not for use on plants for sale. Group 3 fungicide. 12-hr reentry.

3) Eagle 20 EW at 6 to 12 fl oz/100 gal water. Group 3 fungicide. 24-hr reentry.

4) Myclobutanil 20 EW T&O at 6 to 12 fl oz/100 gal water plus spreading agent. May observe a PGR effect. Group 3 fungicide. 24-hr reentry.

5) Spectracide Immunox at 1 fl oz/gal water.

",
Lilac ,(Syringa spp.)-Bacterial Blight,"Pseudomonas syringae pv. syringae, the bacterium that also causes bacterial blight of pear, blueberry, cherry, maple, and many other woody plants. Bacteria overwinter on diseased twigs or as epiphytes on healthy wood. Factors that weaken or injure plants predispose them to disease. Such factors include wounds, both accidental and from pruning or budding, frost damage, incorrect soil pH, poor or improper nutrition, and infection by other pathogens.
Bacterial sources can include old cankers, healthy buds, low populations within plants (with or without cankers), leaf surfaces, nearby weeds and grasses, even soil. Bacteria spread by wind, rain, insects, tools, and infected nursery stock. Mild, moist weather favors disease development.
Two common genetic traits increase the bacteria's ability to cause disease. Most produce a powerful plant toxin, syringomycin, which destroys plant tissues as bacteria multiply in a wound. Bacteria also produce a protein that acts as an ice nucleus, increasing frost wounds that bacteria easily colonize and expand.
Some species of Syringa have shown resistance in western Washington including S. josikaea, S. Komarowii, S. microphylla, S. pekinensis, and S. reflexa. Most cultivars of S. vulgaris are susceptible, but some have been observed with less disease when planted in a garden; those cultivars include Edith Cavell, Glory, Ludwig Spaeth, and Pink Elizabeth. Note that 'Ludwig Spaeth' is highly susceptible under intense nursery production systems.


","The disease starts as brown spots on stems and leaves of young shoots as they develop in early spring. A yellow halo may also be around the spot. Spots become black and grow rapidly, especially during rainy periods. Further infectious development depends on the age of the part attacked.
On young stems, infection spreads around the stem and girdles it so the shoot bends over at the lesion and the parts above it wither and die. On mature stems, spots usually enlarge along the stem, causing leaf death only within the infected area.
Young, infected leaves blacken rapidly starting near the margin and continuing in a wedge-shaped pattern down to the petiole. Eventually the entire leaf dies. On older leaves, spots enlarge slowly. Sometimes, several spots will run together, and the leaf may crinkle at the edge or along the midvein. Flower clusters also may be infected and rapidly become blighted and blackened.
Buds may fail to open or may turn black and die shortly after opening. Symptoms are similar to those of winter injury.


","

1) Maintain adequate spacing between plants and prune to provide good air circulation within the canopy.

2) Prune out and burn all affected tissues immediately.

3) Plant resistant species or cultivars.

4) Do not fertilize late in the growing season. Do not overfertilize young plants.

5) In spring, protect from rain and frost with plastic hoop houses or similar structures. This treatment has been as good as the best chemical method.

","Focus first on cultural control tactics. Spray before fall rains and again before budbreak in spring. Bacteria resistant to both copper products and antibiotics have been detected in many nurseries. Limit the use of any one group during crop production. Copper products may be phytotoxic when used during the early growing season. Use of anti-transpirants has not been effective.


1) Arbor-OTC is registered for trunk injection, see label for details. Group 41 fungicide (antibiotic). 12-hr reentry.

2) Badge X2 at 1.5 to 2 lb/A. Group M1 fungicide. 48-hr reentry.

3) Bordeaux (copper sulfate plus hydrated lime) at 4-4-100. An effective combination of products even when bacteria are resistant to copper. Group M1 fungicide.

4) Champ Dry Prill at 0.67 lb/100 gal water. Group M1 fungicide. 48-hr reentry.

5) Copper-Count-N at 1 quart/100 gal water. Oregon only. Group M1 fungicide. 48-hr reentry general or 24-hr reentry for greenhouse.

6) CuPRO 5000 at 1.5 to 5 lb/A. Group M1 fungicide. 48-hr reentry.

7) Junction at 1.5 to 3 lb/A. Can be more effective than other copper-based products when copper-resistant bacteria are present. Spray solution pH should be above 6.5. Group M1 + M3 fungicide. 48-hr reentry.

8) KleenGrow at 6 to 38 fl oz/100 gal water. 48-hr reentry.

9) Monterey Liqui-Cop at 3 Tbsp/gal water.

10) Nu-Cop 50 DF at 1 lb/100 gal water. Group M1 fungicide. 48-hr reentry.

11) Phyton 27 at 1.3 to 2.5 oz/10 gal water. Group M1 fungicide. 48-hr reentry.

",
Lilac ,(Syringa spp.)-Gray Mold,,,,,
Lilac ,(Syringa spp.)-Leaf Scorch,"OSU Plant Clinic records contain many samples of lilac with an abiotic leaf scorch. It is clearly a nonpathogenic problem as no pathogens were recovered from disease tissue. Diagnosticians speculated about possible causes including sunburn, heat stress, drought, physiologic, and excess salt (from fertilizers).


",,,,
Lilac ,(Syringa spp.)-Leaf Spots,"Several fungi have been reported from the Pacific Northwest including Alternaria sp. (leaf spot), Ascochyta syringae (leaf blight), and Phyllosticta sp. (leaf spot). Airborne or water-splashed spores infect young leaves during wet weather, in the spring.


","Light-brown to dark-brown necrotic leaf spots and blights.


","

1) Space plants or prune branches for good air circulation.

2) Avoid overhead irrigation or anything that will contribute to leaves being wet for extended periods of time.

","These are registered for lilac and may be helpful.


1) Armada 50 WDG at 3 to 9 oz/100 gal water. Do not use a silicone-based surfactant. Not for nursery or greenhouse use. Group 3 + 11 fungicide. 12-hr reentry.

2) Banner MAXX at 5 to 8 fl oz/100 gal water. Group 3 fungicide. 12-hr reentry.

3) Compass O 50 WDG at 2 to 4 oz/100 gal water. Do not use organosilicate additives. Group 11 fungicide. 12-hr reentry.

4) Daconil Weather Stik at 1.4 pints/100 gal water. Group M5 fungicide. 12-hr reentry.

5) Eagle 20 EW at 6 to 12 fl oz/100 gal water. Group 3 fungicide. 24-hr reentry.

6) Myclobutanil 20 EW T&O at 6 to 12 fl oz/100 gal water plus spreading agent. May observe a PGR effect. Group 3 fungicide. 24-hr reentry.

7) Orkestra at 4 to 10 fl oz/100 gal water. Group 7 + 11 fungicide. 12-hr reentry.

8) Pageant at 4 to 12 oz/100 gal water. Group 7 + 11 fungicide. 12-hr reentry.

9) Spectracide Immunox at 1 fl oz/gal water.

10) Spectro 90 WDG at 1 to 2 lb/100 gal water. Group 1 + M5 fungicide. 12-hr reentry.

11) Tourney 50 WDG at 1 to 4 oz/100 gal water. Group 3 fungicide. 12-hr reentry.

12) Zyban WSB at 24 oz/100 gal water. Not to be confused with the smoking cessation drug. Group 1 + M3 fungicide. 24-hr reentry.

",
Lilac ,(Syringa spp.)-Lilac Ring Mottle,"Lilac ring mottle virus can be mechanically transmitted from one plant to another.


","Leaf deformation, reduction in leaf size, ring spots, and line patterns were observed on cultivars President Grevy and Krasavitsa Moskvy. Symptom expression was influenced by environmental conditions and may be erratic, thus infections may remain undetected for years.
Note: There are variegated cultivars such as S. v. 'Aucubaefolia' that look like they are infected with a virus.


","

1) Infected plants should be removed and destroyed.

2) Sanitize pruning and other tools between plants or blocks of plants. Use two tools so a worker can trim or cut with one while the other soaks. When done with a batch, cultivar, etc. switch one tool for the other and allow the used one to soak.

3) Sanitation should also be practiced when taking cuttings for propagation.

",,
Lilac ,(Syringa spp.)-Phytophthora Canker,,,,,
Lilac ,(Syringa spp.)-Powdery Mildew,"Erysiphe syringae (formerly Microsphaera syringae) and Phyllactinia syringae, fungi. Cultivars of S. vulgaris are very susceptible, but other species can be resistant. Conidia are released in response to abrupt decreases in relative humidity. Wind blows conidia to healthy foliage where they start new mildew colonies. Too much water, such as flowing water or rain, destroys spores by causing them to burst. The fungus does not grow in a leaf but rather across the surface. Small anchor cells of the fungus, haustoria, remain in the leaf and take nourishment from the plant, but the main filament and the multitudes of spores it produces are outside the leaf. The disease can develop under relatively dry conditions in spring and summer so long as the air is humid. Plants in shade tend to have more problems because that environment favors disease development. Multiple disease cycles occur during the growing season.
The following species and cultivars were found to be resistant to both powdery mildew and bacterial blight in Tennessee: Syringa josiflexa 'Royalty', S. patula 'Miss Kim', S. prestoniae 'Donald Wyman', and S. vulgaris 'Sensation'.


","A grayish-white fungus develops at first in patches but then extensively on leaves. Generally the disease does not appear until the latter part of the growing season and so does little damage.


","

1) Space plants or prune branches for good air circulation.

2) Do not plant in shade.

","Use just before symptoms are expected or when they first appear. Alternate or tank-mix products from different groups that have different modes of action. Limit the use of any one group during crop production.


1) Armada 50 WDG at 3 to 9 oz/100 gal water. Do not use a silicone-based surfactant. Not for nursery or greenhouse use. Group 3 + 11 fungicide. 12-hr reentry.

2) Bayleton 50 T&O at 5.5 oz/275 to 550 gal water. Landscape only, not for use on plants for sale. Group 3 fungicide. 12-hr reentry.

3) Compass O 50 WDG at 1 to 2 oz/100 gal water. Do not use organosilicate additives. Group 11 fungicide. 12-hr reentry.

4) Concert at 22 to 35 fl oz/100 gal water. May cause injury to buds, blooms or tender new growth. Landscape use only. Group 3 + M5 fungicide. 12-hr reentry.

5) Daconil Weather Stik at 1.4 pints/100 gal water. Although registered, other compounds would likely be more effective. Group M5 fungicide. 12-hr reentry.

6) Eagle 20 EW at 6 to 12 fl oz/100 gal water. Group 3 fungicide. 24-hr reentry.

7) Insignia at 4 to 8 oz/100 gal water. Do not use with organosilicate-based adjuvants. Use preventively only. Group 11 fungicide. 12-hr reentry.

8) Monterey Fungi-Fighter at 3 Tbsp/gal water.

9) Mural at 4 to 7 oz/100 gal water. Group 7 + 11 fungicide. 12-hr reentry.

10) Myclobutanil 20 EW T&O at 6 to 12 fl oz/100 gal water plus spreading agent. May observe a PGR effect. Group 3 fungicide. 24-hr reentry.

11) Pageant at 6 to 12 oz/100 gal water. Group 7 + 11 fungicide. 12-hr reentry.

12) Pipron LC at 4 to 8 fl oz/100 gal water plus a surfactant. Greenhouse use only. Group 5 fungicide. 12-hr reentry.

13) Propiconazole-based products. Group 3 fungicides.

13.1) Banner MAXX at 5 to 8 fl oz/100 gal water. 12-hr reentry.
13.2) Infuse Systemic Disease Control at 2 Tbsp/gal water. H
13.3) ProCon-Z at 5 to 8 oz/100 gal water. 24-hr reentry.
13.4) ProPensity 1.3 ME at 5 to 8 fl oz/100 gal water. 24-hr reentry.
14) Orkestra at 6 to 8 fl oz/100 gal water. Group 7 + 11 fungicide. 12-hr reentry.

15) Safer Garden Fungicide (Ready To Use 0.4% sulfur) thoroughly sprayed over the entire plant. Do not use when the temperature is over 85°F or within a few weeks of an oil spray.

16) Spectracide Immunox at 1 fl oz/gal water.

17) Strike Plus 50 WDG at 3 to 9 oz/100 gal water. Group 3 + 11 fungicide. 12-hr reentry.

18) Tourney 50 WDG at 1 to 4 oz/100 gal water. Group 3 fungicide. 12-hr reentry.

19) Zyban WSB at 24 oz/100 gal water. Not to be confused with the smoking cessation drug. Group 1 + M3 fungicide. 24-hr reentry.

","


1) Bayer Advanced Natria Disease Control RTU ( strain QST 713) is registered for the home garden. Active ingredient is a small protein.

2) Cease or Rhapsody (strain QST 713) at 2 to 8 quarts/100 gal water. Active ingredient is a small protein. Efficacy in the Pacific Northwest is unknown. 4-hr reentry.

"
Lilac ,(Syringa spp.)-Root Rot,"There are several organisms that have been associated with root rots of lilac including Phytophthora, Rhizoctonia and Armillaria. These diseases are generally found where plants are in cold wet soils and/or overwatered. Young, nursery-grown plants can get root rot as well as mature bushes grown in landscapes.


","Plants infected by Phytophthora may show decline and dieback of one to many shoots and branches. Leaves may turn chlorotic before becoming necrotic and may not fall from dead plants. A reddish-brown discoloration can be found in the root crown of plants. There may be a line between discolored and healthy tissue.
Armillaria mycelial fans can be observed beneath the bark of the root crown of infected plants. Mycelial fans are thick, white layers of fungus that adhere to the inner root bark and/or the wood beneath the bark. Armillaria also makes black, shoestring-like structures called rhizomorphs, which are occasionally found within the bark and/or extending into surrounding soil.


","

1) Do not overwater plants.

2) Provide good drainage for plants in beds, fields, or containers. Place containers on gravel beds (4 inches or more deep) to allow drainage. Do not place containers on poly sheets; they can prevent containers from draining into soil and allow contaminated drainage water to spread from the base of one container to another.

3) Avoid reusing pots from a previous crop for propagation. If pots must be reused then wash off all debris and soak in a sanitizing solution or treat with aerated steam for 30 min.

","The following have been found to be safe on this crop and may be helpful for disease management.


1) Aliette WDG at 2.5 to 5 lb/100 gal water may be useful for  management. Group 33 fungicide.12-hr reentry.

2) Empress at 1 to 3 fl oz/100 gal water can be used for cuttings or seedlings. May be useful for  management. Group 11 fungicide. 12-hr reentry.

",
Lily ,(Lilium spp.)-Basal Rot (Bulb Rot),"Fusarium oxysporum f. sp. lilii, a fungus. The fungus is carried on bulbs and can survive in soil indefinitely. The disease usually comes into a planting on infected lily bulbs. If a lily plant yellows during the current season, the usual cause is Fusarium bulb rot. Initial infection occurs just behind the root cap. Conidia germinate within 6 hours and within 48 hours spread through the intercellular spaces between the epidermis and the outermost cells of the root cortex. Direction infection of scales may also occur through stomata in the epidermis. Unlike other many other Fusarium diseases this is not a vascular wilt but a rot of the cortical tissues of the root. Fusarium bulb rots are more common during the winter when soils can be excessively wet. The disease also occurs often as a combination with Cylindrocarpon, other Fusarium spp. and other fungi.


","This disease results in a severe root rot and destruction of the basal plate. Chocolate or bluish-gray rot that extends from the basal plate into the scales. The surface of rotting scales remains smooth until disintegration begins. Scales detach at the basal plate, and bulbs often fall to pieces after digging. Aboveground symptoms are general to many belowground diseases and include premature yellowing of the foliage, stunting, and premature senescence. Flower buds may wilt and fail to open.


","

1) Destroy bulbs with chocolate-color rot at base of scales.

2) Propagate from rot-free scales.

3) If disease is in a lily bed, dig bulbs and destroy all rotted ones.

4) Improve soil drainage.

5) Use low-nitrogen fertilizers.

6) Remove remnants of bulbs and plant debris.

7) The Asiatic lilies 'Connecticut King' and 'Mont Blanc' have shown resistance when grown in the field in the Netherlands.

","Soaking clean sorted bulbs prior to planting has helped prevent the disease.


1) 42-S Thiram at 1.5 pints/8 gal water. Group M3 fungicide. 24-hr reentry.

2) Daconil Ultrex at 2.5 to 5 lb/100 gal water. Soak bulbs for 15 min. before planting. Group M5 fungicide. 12-hr reentry.

3) KleenGrow at 0.15 to 1.5 fl oz/gal water. Soak for 30 seconds and allow to drain.

4) Medallion WDG at 8 oz/100 gal water. Soak sorted bulbs for 20 min then dry. Group 12 fungicide. 12-hr reentry.

5) Mertect 340 F at 30 oz/100 gal water at 55°F to 75°F. Soak bulbs 15 to 30 min. within 48 hours after digging, then let dry. Group 1 fungicide.12-hr reentry.

6) Thiophanate-methyl-based products as a postharvest soak at 80°F to 85°F. Soak clean bulbs 15 to 30 min. within 48 hours after digging. Group 1 fungicides. 12-hr reentry.

6.1) Bonide Infuse Systemic Disease Control Lawn and Landscape at 3 lb/1000 sq ft. Activate with 0.1 to 0.25 inches water within 24 hours after application. H
6.2) Cleary's 3336 EG at 16 to 24 oz/100 gal water.
6.3) OHP 6672 4.5 F at 14.5 to 33 fl oz/100 gal water.
6.4) Systec 1998 at 33 fl oz/100 gal water. 
",
Lily ,(Lilium spp.)-Botrytis Blight (Fire),"Botrytis elliptica and B. cinerea, fungi. The former has been reported on crocus, daylily, and gladiolus but is primarily on lily while the later has a huge host range. Botrytis overwinters as sclerotia in the debris of plant shoots that mature and decay in fall. In spring, sclerotia on or near the soil surface produce conidia that infect leaves. Conidia are windblown to healthy foliage. Infection is most likely in wet foggy weather where plants are wet for 6 to 12 hours and when temperatures range from 50°F to 65°F during day or night. Infection by B. elliptica is through stomata on the underside of leaves. Spore production in diseased tissue spreads the fungus during the growing season. Under optimal conditions many spots may occur at once throughout the planting. Colonized flower parts that fall onto leaves or stems can be the source of mycelium that directly infects healthy tissues. Injuries due to hail can also favor disease development. The disease can reduce bulb growth as well as making cut flowers or pot grown plants unmarketable. Cultivars are known to differ in susceptibility.


","Typical initial symptoms are water-soaked (wet-looking), teardrop- or boat-shape brown spots that occur anywhere on the leaf. Spot color varies with leaf texture and the lily species affected, but usually the center is a different color and slightly sunken. Yellow streaks are often associated with these spots. As the spots increase in size the foliage is killed and hangs down. Disease severity is generally greatest on the lower leaves. Flowers develop tan-to-brown spreading spots on buds and petals. Dead tissue may be covered with the fuzzy gray growth and sporulation of the fungus during moist periods.


","

1) Remove all plant debris at season's end. Preferably, pull shoots as soon as they can be pulled away easily from bulbs.

2) Removing flower buds early helps manage disease.

3) Annual digging.

4) Reduce planting densities to promote good air circulation.

5) Avoid overhead irrigation or any practice that keeps plants wet for extended periods of time. Individual drip watering of pots can also help.

6) Rotate planting sites to new ground each year.

","Best used with cultural controls. Spray at the first signs of infection. Fungicide coverage of the lower leaf surface is important to obtain the best disease control. Alternate or tank-mix products from different groups with different modes of activity to prevent developing resistant fungi. Limit the use of any one group during crop production. Disease warning systems have been developed to time fungicide applications.


1) Astun at 10 to 17 fl oz/100 gal water. Group 7 fungicide. 12-hr reentry.

2) Bonide Fung-onil Multi-purpose Fungicide at 2.25 teaspoons/gal water.

3) Bordeaux mixture at 10-10-100. Group M1 fungicide.

4) Champ Dry Prill at 2 to 3.5 lb/A. Group M1 fungicide. 48-hr reentry.

5) Chipco 26019 N/G at 1 to 2.5 lb/100 gal water plus a resin-based surfactant. Group 2 fungicide. 12-hr reentry.

6) C-O-C-S WDG at 2 to 4.9 lb/A. Group M1 fungicide. 48-hr reentry.

7) Copper-Count-N at 3 to 5 quarts/A in 20 to 100 gal water. Group M1 fungicide. Oregon only. 48-hr reentry general or 24-hr reentry for greenhouse.

8) CuPRO 5000 at 4.5 to 6.25 lb/A. Group M1 fungicide. 48-hr reentry.

9) Daconil Weather Stik at 1.4 pints/100 gal water. Group M5 fungicide. 12-hr reentry.

10) Decree 50 WDG at 0.75 to 1.5 lb/100 gal water. Has not worked well on the south Oregon coast. Group 17 fungicide. 12-hr reentry.

11) Emblem at 2 to 4 fl oz/100 gal water. Use with oils or adjuvants may cause plant damage. Group 12 fungicide. 12-hr reentry.

12) Exotherm Termil at 1 can/1500 sq ft of greenhouse. It ignites to form a vapor that condenses back on the plants. See label for details. Group M5 fungicide. 24-hr reentry with no ventilation or 12-hr reentry with ventilation.

13) Junction at 4 to 6.5 lb/20 to 100 gal water/A. Group M1 + M3 fungicide. 48-hr reentry.

14) Medallion WDG at 2 to 4 oz/100 gal water. Use with oils or adjuvants may cause plant damage. Group 12 fungicide. 12-hr reentry.

15) Mancozeb-based products can be used as mixing partners and provide some protection. Group M3 fungicides. 24-hr reentry.

15.1) Fore 80 WP at 1.5 lb/100 gal water plus a spreader-sticker. 
15.2) Protect DF at 1 to 2 lb/100 gal water plus 2 to 4 oz spreader-sticker. 
16) Mural at 4 to 7 oz/100 gal water. Group 7 + 11 fungicide. 12-hr reentry.

17) Nu-Cop 50 DF at 2 to 5 lb/100 gal water. Group M1 fungicide. 48-hr reentry.

18) Orkestra at 8 fl oz/100 gal water. Group 7 + 11 fungicide. 12-hr reentry.

19) Pageant at 12 to 18 oz/100 gal water. Group 7 + 11 fungicide. 12-hr reentry.

20) Palladium at 4 to 6 oz/100 gal water. Avoid excessive runoff to small plants, which may result in stunting and/or chlorosis. Group 9 + 12 fungicide. 12-hr reentry.

21) Spectro 90 WDG at 1 to 2 lb/100 gal water. Group 1 + M5 fungicide. 12-hr reentry.

","


1) Prestop ( strain J1446) at 3.5 oz/5 gal water. Do not use with other products in the tank. 0-hr reentry.

2) RootShield Plus Granules ( Rifai strain T-22 and  strain G-41) at 1 to 3 lb/cubic yard soil mix. Zero-hr reentry.

"
Lily ,(Lilium spp.)-Crown Rot,,,,,
